coords_xyz,name,ULS_v_x_max,ULS_v_y_max,ULS_m_xD+_max,ULS_m_xD-_max,ULS_m_yD+_max,ULS_m_yD-_max,ULS_Mx,ULS_My,SLS_kar_v_x_max,SLS_kar_v_y_max,SLS_kar_m_xD+_max,SLS_kar_m_xD-_max,SLS_kar_m_yD+_max,SLS_kar_m_yD-_max,SLS_kar_Mx,SLS_kar_My,SLS_freq_v_x_max,SLS_freq_v_y_max,SLS_freq_m_xD+_max,SLS_freq_m_xD-_max,SLS_freq_m_yD+_max,SLS_freq_m_yD-_max,SLS_freq_Mx,SLS_freq_My
"('6', '-0.5', '0')",2-1,-277001.5043416199,-76653.03839161561,-28256.790171795856,152231.90854562682,-60070.21562834618,67220.19184758101,152231.90854562682,67220.19184758101,-251819.5441499687,-69684.57885391338,-25687.99050849676,138392.64120078593,-54609.2857720594,61109.26399147511,138392.64120078593,61109.26399147511,-210932.55518077328,-55998.74430893497,-18088.0479256,113873.6178499168,-44164.973101131945,48882.4526108749,113873.6178499168,48882.4526108749
"('7', '-0.5', '0')",2-1,-384542.7960412261,-44210.33920285072,-270309.03815320844,0.0,-88896.55490101437,0.0,270309.03815320844,0.0,-349584.35276471335,-40191.216589984295,-245735.48411903784,0.0,-80815.04821613795,0.0,245735.48411903784,0.0,-293814.6313818167,-32314.523500206677,-206114.23337395908,0.0,-66987.8202866429,0.0,206114.23337395908,0.0
"('8', '-0.5', '0')",2-1,-568425.4502178457,71520.75988704851,-623617.7614760847,0.0,-136104.00209398434,0.0,623617.7614760847,0.0,-516750.39848792047,65018.87121534348,-566925.2259827964,0.0,-123730.9084295349,0.0,566925.2259827964,0.0,-432205.9370720853,51739.647824718006,-479348.3177329005,0.0,-104244.76662892524,0.0,479348.3177329005,0.0
"('0', '-1.5', '0')",2-1,616117.7477300445,51304.98164083697,-657916.7637404085,0.0,-116652.02782632572,0.0,657916.7637404085,0.0,560107.0316267463,46640.8913898468,-598106.1364658505,0.0,-106047.2958232656,0.0,598106.1364658505,0.0,465115.14060901693,36502.79267771836,-504373.2257380704,0.0,-89123.68520784595,0.0,504373.2257380704,0.0
"('1', '-1.5', '0')",2-1,405063.1365810615,129875.846654402,-291294.6856929837,0.0,-78187.20358973584,39206.15525503128,291294.6856929837,39206.15525503128,368239.2073844669,118068.94894492626,-264813.3451257098,0.0,-71079.2745037942,35641.95855023706,264813.3451257098,35641.95855023706,307749.0257360566,94295.37096741075,-222115.49748759452,0.0,-58974.08002268334,26021.49432053855,222115.49748759452,26021.49432053855
"('2', '-1.5', '0')",2-1,297667.7749984628,125062.83852929145,-39817.43076122197,192935.78300983168,-43253.518432425015,109306.92026600092,192935.78300983168,109306.92026600092,270607.06251763925,113693.48710784316,-36197.66354382038,175396.16266152347,-39321.37956522214,99369.92538500654,175396.16266152347,99369.92538500654,225539.3997589352,90262.97129249673,-26982.450616527407,144256.21913186667,-32131.788635665725,80585.13644185827,144256.21913186667,80585.13644185827
"('3', '-1.5', '0')",2-1,193207.91268262872,-128396.30132275278,0.0,355800.22122339346,-7237.48617230823,126585.85253982978,355800.22122339346,126585.85253982978,175643.55328057782,-116723.90779345644,0.0,323454.7398115683,-6579.532741309041,115078.04529961958,323454.7398115683,115078.04529961958,145113.92465594967,-94259.16248939326,0.0,270159.2009594215,-4418.570187524283,93608.92272063652,270159.2009594215,93608.92272063652
"('4', '-1.5', '0')",2-1,-100001.45545278514,-135584.2236061888,0.0,397348.765147814,-6630.015025616073,121665.1074090216,397348.765147814,121665.1074090216,-90910.41207755635,-123258.38245678856,0.0,361226.1426047392,-6027.286256285792,110604.64072199567,361226.1426047392,110604.64072199567,-72728.28479978444,-99535.03743526332,0.0,302448.8578436136,-3703.3843324855434,89698.3057132276,302448.8578436136,89698.3057132276
"('5', '-1.5', '0')",2-1,-197505.58390824735,-132458.62498355613,0.0,352484.4026814284,-7271.305454446919,129772.82689870433,352484.4026814284,129772.82689870433,-179550.52703736798,-120416.92922323356,0.0,320440.3593842077,-6610.277542586929,117975.29465398208,320440.3593842077,117975.29465398208,-148239.38719223166,-97213.50105304307,0.0,267748.02119495993,-4443.662767094842,95926.65980485312,267748.02119495993,95926.65980485312
"('6', '-1.5', '0')",2-1,-301253.9711714673,125071.23471514572,-39812.22103410786,190232.32672221668,-44085.78073767316,110436.14016202514,190232.32672221668,110436.14016202514,-273867.24078607187,113701.12000390889,-36192.927428364754,172938.47518059696,-40077.98164450334,100396.4888803512,172938.47518059696,100396.4888803512,-228147.4313621372,90269.00960857939,-26978.857237820077,142290.11871880724,-32736.86598871851,81291.36652209601,142290.11871880724,81291.36652209601
